Name,artist_name,Id,artist_id,preview_url
I Hate Everything About You,Three Days Grace,6rUp7v3l8yC4TKxAAR5Bmx,2xiIXseIJcq3nG7C8fHeBj,https://p.scdn.co/mp3-preview/8893669447625edf76339cdd67a338dad034a7ea?cid=774b29d4f13844c495f206cafdad9c86
Hero,Mariah Carey,4FCb4CUbFCMNRkI6lYc1zI,4iHNK0tOyZPYnBU7nGAgpQ,https://p.scdn.co/mp3-preview/cc03494b6954237706d6f2ac7b9ce189014f840a?cid=774b29d4f13844c495f206cafdad9c86
Old Flame,Tom Speight,1UMJ5XcJPmH6ZbIRsCLY5F,02U4dXZhGSo07f66l8JZ91,https://p.scdn.co/mp3-preview/155fe54c1186c043df3701ff2b0e13d2ea286bb8?cid=774b29d4f13844c495f206cafdad9c86
Vain,KIRBY,3wF0zyjQ6FKLK4vFxcMojP,5lcDGoJUr5WY5bCFAfYbCU,https://p.scdn.co/mp3-preview/606a06399ab185681386a6cffef192690857a2fc?cid=774b29d4f13844c495f206cafdad9c86
Given Up,Linkin Park,1fLlRApgzxWweF1JTf8yM5,6XyY86QOPPrYVGvF9ch6wz,https://p.scdn.co/mp3-preview/ab38812ac47dbfe4d4d70abc375311bd8a2511a6?cid=774b29d4f13844c495f206cafdad9c86
Mr. Know It All,Kelly Clarkson,7uRznL3LcuazKpwCTpDltz,3BmGtnKgCSGYIUhmivXKWX,https://p.scdn.co/mp3-preview/0af54fd78b3b5e2c115b75aa43d0567eefe0a137?cid=774b29d4f13844c495f206cafdad9c86
Happy,Pharrell Williams,5b88tNINg4Q4nrRbrCXUmg,2RdwBSPQiwcmiDo9kixcl8,https://p.scdn.co/mp3-preview/67cffdcb7e3c82a5eb2e5f0bb235d377ccc94eeb?cid=774b29d4f13844c495f206cafdad9c86
I'm Yours,Jason Mraz,3S0OXQeoh0w6AY8WQVckRW,4phGZZrJZRo4ElhRtViYdl,https://p.scdn.co/mp3-preview/c58f1bc9160754337b858a4eb824a6ac2321041d?cid=774b29d4f13844c495f206cafdad9c86
Homesick,Dua Lipa,5E5MqaS6eOsbaJibl3YeMZ,6M2wZ9GZgrQXHCFfjv46we,https://p.scdn.co/mp3-preview/47eb20c4409683df486f8bb518b2e6abf4e617a5?cid=774b29d4f13844c495f206cafdad9c86
Give Me Something,Seafret,1au9q3wiWxIwXTazIjHdfF,4Ly0KABsxlx4fNj63zJTrF,https://p.scdn.co/mp3-preview/4d7625d9a01acca6647e8f92cb5dd338978da2e1?cid=774b29d4f13844c495f206cafdad9c86
Say You Won't Let Go,James Arthur,5uCax9HTNlzGybIStD3vDh,4IWBUUAFIplrNtaOHcJPRM,https://p.scdn.co/mp3-preview/00825cb1779b31d68964eda6f2a7911fc2ae96c6?cid=774b29d4f13844c495f206cafdad9c86
I'll Be Good,Jaymes Young,5WLSak7DN3LY1K71oWYuoN,6QrQ7OrISRYIfS5mtacaw2,https://p.scdn.co/mp3-preview/0c94dde2f13273e3ed1eec72cb184537d0ae77d2?cid=774b29d4f13844c495f206cafdad9c86
Jekyll and Hyde,Five Finger Death Punch,7qjbpdk0IYijcSuSYWlXO6,5t28BP42x2axFnqOOMg3CM,https://p.scdn.co/mp3-preview/776ba6ac560da4be1c441b1a2cafbb7a78413d31?cid=774b29d4f13844c495f206cafdad9c86
Spit It Out,Slipknot,2W2eaLVKv9NObcLXlYRZZo,05fG473iIaoy82BF1aGhL8,https://p.scdn.co/mp3-preview/56871b651b171ed29ebb1d6630952fc164c1dc75?cid=774b29d4f13844c495f206cafdad9c86
The Downfall of Us All,A Day To Remember,6G7URf5rGe6MvNoiTtNEP7,4NiJW4q9ichVqL1aUsgGAN,https://p.scdn.co/mp3-preview/f094559ec555e9cf67cca13261458be4df2ef4a5?cid=774b29d4f13844c495f206cafdad9c86
Someone Like You,Adele,6QPKYGnAW9QozVz2dSWqRg,4dpARuHxo51G3z768sgnrY,https://p.scdn.co/mp3-preview/ba52dd35393f5936ed277cf375128feecd111d26?cid=774b29d4f13844c495f206cafdad9c86
Thunderstruck,AC/DC,52UWtKlYjZO3dHoRlWuz9S,711MCceyCBcFnzjGY4Q7Un,https://p.scdn.co/mp3-preview/2d9544a444030dbf6f506c4c9bd5ae5708bc59f8?cid=774b29d4f13844c495f206cafdad9c86
The Lazy Song,Bruno Mars,1ExfPZEiahqhLyajhybFeS,0du5cEVh5yTK9QJze8zA0C,https://p.scdn.co/mp3-preview/6dda0f582db7db112f377d36df313cf04e706f27?cid=774b29d4f13844c495f206cafdad9c86
Skinny Love,Birdy,4RL77hMWUq35NYnPLXBpih,2WX2uTcsvV5OnS0inACecP,https://p.scdn.co/mp3-preview/fa2ee949327d85e7bd22385f00737744ebf87d60?cid=774b29d4f13844c495f206cafdad9c86
November Night,Groove Coverage,1pSIQWMFbkJ5XvwgzKfeBv,1yWjNh9SRE7C59A3LDIwVW,https://p.scdn.co/mp3-preview/c52cc53bcf0ff8916107c89ebf8507758cb0e21d?cid=774b29d4f13844c495f206cafdad9c86