,,,,,,,,,,,,emotion
Alright,Logic,127.035,0.693,-5.056,0.807,0.142,0.0504,30,40,20,10,1
Rainy Streets,Blue In Green,91.349,0.435,-8.97,0.679,0.365,0.167,10,26.66666667,33.33333333,30,2
Hazelton Trump,OB OBrien,149.902,0.68,-6.438,0.736,0.585,0.00403,38,20,20,22,0
Free Stress Test,Professor Murder,141.262,0.825,-9.343,0.652,0.695,0.0164,15,30,10,45,3
"""Im Ya Dogg""",Snoop Dogg,107.699,0.609,-8.678,0.479,0.513,0.127,25,4,20,51,3
Hot Dreams,Timber Timbre,121.941,0.373,-8.772,0.55,0.33,0.391,10,25,55,10,2
The Hills,The Weeknd,112.986,0.565,-7.065,0.58,0.138,0.0671,10,30,46.66666667,13.33333333,2
When They Fight   They Fight,Generationals,119.756,0.898,-2.051,0.755,0.966,0.242,25,30,30,15,1
The River,Son Little,109.029,0.753,-6.039,0.694,0.532,0.0441,15,50,20,15,1
Rill Rill,Sleigh Bells,73.048,0.804,-3.452,0.483,0.811,0.0356,0,44,30,26,1
Johnny Was,Bob Marley & The Wailers,152.227,0.412,-9.826,0.701,0.786,0.191,20,26.66666667,33.33333333,20,2
Monster Mash,"Bobby ""Boris"" Pickett",69.796,0.608,-10.505,0.68,0.696,0.383,25,20,20,35,3
Night on Bald Mountain,Modest Mussorgsky,113.12,0.265,-17.219,0.334,0.0528,0.916,11.66666667,10,33.33333333,45,3
Feel The Volume,Jauz,125.009,0.918,-4.912,0.725,0.201,0.153,20,60,0,20,1
Kathy Lee,Jessy Lanza,139.899,0.261,-20.79,0.76,0.298,0.000606,35,25,0,40,3
Love Buzz,Shocking Blue,121.509,0.548,-9.587,0.69,0.717,0.0259,20,20,24,36,3
Auditorium,Mos Def,77.865,0.726,-8.754,0.682,0.515,0.0785,15,20,20,45,3
Disco Devil,"Lee ""Scratch"" Perry",168.045,0.749,-7.365,0.554,0.823,0.00189,15,30,10,45,3
Frontier Psychiatrist,The Avalanches,96.318,0.752,-6.088,0.446,0.596,0.0174,15,24,30,31,3
Had Ten Dollaz,Cherry Glazerr,172.176,0.628,-7.82,0.612,0.366,0.124,25,30,20,25,1
Sometimes,Heems,107.912,0.867,-6.476,0.582,0.4,0.0116,15,30,20,35,3
VHS Sex,Com Truise,136.921,0.86,-7.839,0.551,0.723,0.262,15,30,10,45,3
Ambling Alp,Yeasayer,143.299,0.957,-6.101,0.331,0.548,0.419,40,10,30,20,0
All Day And All Of The Night,The Kinks,119.992,0.739,-9.089,0.777,0.202,0.00212,30,30,0,40,3
Strychnine,The Sonics,121.099,0.333,-17.848,0.883,0.964,0.00799,15,35,15.83333333,34.16666667,1
Acamar,Frankey,89.998,0.9,-4.625,0.687,0.747,0.0148,10,60,20,10,1
It Looks Like Love,Goody Goody,127.839,0.784,-7.471,0.646,0.179,0.0166,15,30,10,45,3
Swords,M.I.A.,85.045,0.448,-9.979,0.65,0.219,0.315,10,26.66666667,53.33333333,10,2
Hands On The Wheel,ScHoolboy Q,122.047,0.641,-8.506,0.834,0.374,0.0572,40,30,0,30,0
Kush High,Eighty4 Fly,125.798,0.56,-10.062,0.834,0.78,0.0145,33.33333333,26.66666667,4,36,3
What I Might Do,Ben Pearce,90.986,0.621,-11.358,0.646,0.428,0.00909,25,30,20,25,1
Atomic Bomb,William Onyeabor,109.953,0.687,-8.668,0.808,0.467,0.0445,50,30,0,20,0
World Restart,Kindness,131.05,0.526,-5.046,0.713,0.131,0.00767,10,50,10,30,1
"""Swingin Party""",Kindness,118.001,0.501,-6.076,0.846,0.822,0.0111,0,20,5,75,3
Antidote,Travis Scott,131.393,0.942,-5.142,0.694,0.58,0.388,45,0,30,25,0
Pieces,Tanlines,159.882,0.827,-5.789,0.305,0.493,2.84E-06,30,30,10,30,0
Zombie,Fela Kuti,163.315,0.89,-4.182,0.185,0.3,0.136,20,30,20,30,1
Time-Out,Terror Train,94.995,0.86,-5.463,0.569,0.743,0.361,45,10,20,25,0
"""Im a Dildo""",No Parents,107.651,0.772,-5.046,0.464,0.63,0.196,15,34,20,31,1
Cadillac Girl,Only Real,124.962,0.711,-6.187,0.634,0.451,0.0933,15,50,30,5,1
Today,Tom Scott,124.996,0.668,-7.494,0.683,0.795,0.000173,31.66666667,20,23.33333333,25,0
I Choose You,Willie Hutch,117.012,0.82,-5.851,0.766,0.376,0.0469,30,40,10,20,1
Shooting Stars,Bag Raiders,97.479,0.792,-4.043,0.598,0.732,0.121,0,60,20,20,1
Bloom - Lane 8 Remix,ODESZA,83.013,0.524,-8.036,0.599,0.43,0.157,10,30,46.66666667,13.33333333,2
Pacifier,Young Thug,145.304,0.844,-5.419,0.61,0.437,0.0123,15,50,10,25,1
Powerful,Major Lazer,96.478,0.671,-7.727,0.63,0.147,0.19,31.66666667,30,23.33333333,15,0
Unbreakable,Janet Jackson,170.002,0.89,-7.974,0.446,0.484,0.27,15,14,20,51,3
Make Them Gold,CHVRCHES,174.144,0.851,-4.528,0.481,0.848,0.0846,10,34,30,26,1
"""Dont Mean A Thing""",Lapalux,161.933,0.792,-3.747,0.293,0.697,0.00855,10,40,20,30,1
Sophia So Far,Goodnight Radio,109.99,0.857,-7.493,0.673,0.47,0.088,15,30,10,45,3
Nimble Girl,Hotel Eden,131.588,0.691,-7.595,0.575,0.734,0.0377,25,30,20,25,1
Grinder,Gary Clark Jr.,161.051,0.571,-10.326,0.52,0.701,0.168,20,14,24,42,3
Two Brothers,Hanni El Khatib,111.044,0.803,-3.458,0.784,0.785,0.0466,15,50,20,15,1
Ferus Gallery,Allah-Las,98.978,0.681,-6.353,0.747,0.853,0.156,38,30,20,12,0
Everybody Loves The Sunshine,Roy Ayers Ubiquity,125.995,0.885,-6.706,0.761,0.756,0.0151,38,10,20,32,0
Number One,Tuxedo,100.039,0.54,-6.578,0.915,0.111,0.445,19,30,16,35,3
Sick Beat,Kero Kero Bonito,99.999,0.519,-7.207,0.632,0.632,0.109,6.666666667,30,43.33333333,20,2
Lost You,Zeds Dead,124.998,0.83,-5.766,0.814,0.285,0.0152,20,40,20,20,1
Norf Norf,Vince Staples,119.969,0.378,-7.324,0.893,0.647,0.273,0,40,20,40,1
Buffalo,Toro y Moi,115.021,0.768,-6.21,0.823,0.216,0.0146,43,25,10,22,0
Talk About,Les Sins,84.452,0.749,-5.916,0.639,0.53,0.0573,15,60,10,15,1
Probably Nu It,Tree,183.114,0.369,-13.424,0.487,0.106,0.736,44.16666667,10,25.83333333,20,0
Mamacita,Travis Scott,122.658,0.406,-12.626,0.813,0.755,0.0203,35,15,13.33333333,36.66666667,3
Star,Gary Clark Jr.,140.804,0.416,-5.571,0.449,0.103,0.01,15,20,55,10,2
Gooey,Glass Animals,122.199,0.549,-10.41,0.595,0.134,2.24E-05,20,20,30.66666667,29.33333333,2
Walk On By - Single Version,Isaac Hayes,81.997,0.607,-7.68,0.726,0.891,0.0389,48,10,10,32,0
Champagne Coast,Blood Orange,86.808,0.896,-4.903,0.561,0.629,0.765,40,35,15,10,0
Running Back To You,The Juan Maclean,118.086,0.938,-8.692,0.782,0.871,0.000429,30,30,0,40,3
BKNY,Fat Tony,120.973,0.48,-12.223,0.839,0.437,0.323,45,15,10,30,0
Pains,Silk Rhodes,102.683,0.256,-11.317,0.144,0.0862,0.0277,10,0,20,70,3
Night Drive,Part Time,120.004,0.717,-8.734,0.858,0.582,0.0626,38.33333333,36.66666667,5,20,0
Flex (Ooh   Ooh   Ooh),Rich Homie Quan,119.089,0.827,-6.036,0.547,0.451,0.000296,15,40,20,25,1
Indian Food,Dumbo Gets Mad,167.909,0.599,-6.941,0.727,0.386,0.317,28,20,30,22,2
Lets Start the Dance,Bohannon,174.212,0.975,-4.214,0.314,0.668,0.00562,20,30,20,30,1
Rollerskate,Matias Aguayo,85.323,0.798,-9.716,0.583,0.96,0.113,15,20,10,55,3
Outro,M83,119.996,0.884,-5.035,0.648,0.937,0.00239,25,50,10,15,1
Slyd,!!!,111.038,0.616,-7.081,0.79,0.375,0.016,48,20,0,32,0
The Moment,Tame Impala,76.467,0.492,-9.297,0.484,0.184,0.0385,25,4,35,36,3
R.I.C.O. (feat. Drake),Meek Mill,126.465,0.573,-9.082,0.785,0.595,0.304,20,40,4,36,1
Black And White,Parquet Courts,113.507,0.64,-7.168,0.715,0.4,0.113,40,10,30,20,0
Never Never Gonna Give Ya Up,Barry White,137.605,0.64,-8.348,0.801,0.771,0.0449,40,30,0,30,0
Wait & See,Holy Ghost!,110.761,0.721,-9.433,0.597,0.849,0.704,0,10,10,80,3
Wait for a Minute,tUnE-yArDs,93.625,0.416,-9.553,0.6,0.0786,0.776,7.5,35,17.5,40,3
5ft7,Tonstartssbandht,75.286,0.461,-10.829,0.811,0.735,0.629,15,15,10,60,3
200 Press,James Blake,141.655,0.657,-5.293,0.799,0.96,0.391,30,20,20,30,0
Huarache Lights,Hot Chip,119.67,0.464,-16.262,0.75,0.754,0.0239,20,10,23.33333333,46.66666667,3
Leave House,Caribou,111.457,0.896,-7.031,0.865,0.944,0.27,51.33333333,16.66666667,0,32,0
Sweet Power   Your Embrace,James Mason,105.857,0.718,-10.388,0.826,0.884,0.0845,50,20,0,30,0
Hunger Of The Pine,alt-J,92.187,0.325,-11.627,0.508,0.274,0.96,14.16666667,10,15.83333333,60,3
Money Money,Horace Andy,105.258,0.762,-10.445,0.856,0.839,0.112,48.33333333,26.66666667,5,20,0
"""Ill Do a Little Bit More""",The Olympics,130.266,0.618,-9.485,0.819,0.872,0.0205,43.33333333,26.66666667,0,30,0
Who Is He And What Is He To You,Creative Source,112.235,0.56,-7.614,0.888,0.817,0.0165,35,30,10,25,0
"""Bustin Loose""",Chuck Brown and the Soul Searchers,107.998,0.661,-6.111,0.401,0.166,0.0129,20,30,40,10,2
I Wish,Stevie Wonder,219.134,0.81,-5.79,0.341,0.722,0.0105,20,30,20,30,1
Baby,Donnie & Joe Emerson,155.974,0.529,-8.838,0.697,0.486,0.115,10,26.66666667,43.33333333,20,2
More Bounce To The Ounce,Zapp,195.978,0.732,-5.643,0.605,0.134,0.195,15,50,10,25,1
Outlaw,War,118.005,0.716,-6.375,0.69,0.335,0.0374,15,20,30,35,3
Walking Into Sunshine,Central Line,134.981,0.74,-10.026,0.428,0.0552,0.0079,20,14,20,46,3
Pyramids,Frank Ocean,100.036,0.612,-7.841,0.555,0.316,0.00525,25,30,20,25,1
Lazuli,Beach House,118.994,0.468,-13.662,0.732,0.187,0.482,10,20,30,40,3
Oblivion,Grimes,152.005,0.931,-4.142,0.642,0.548,0.0131,10,60,20,10,1
Obedear,Purity Ring,93.053,0.943,-4.146,0.403,0.23,0.000141,10,40,30,20,1
Flutes,Hot Chip,113.864,0.825,-4.661,0.579,0.953,0.0456,0,60,20,20,1
Club Rez,Girl Unit,124.654,0.835,-7.165,0.658,0.532,0.0602,15,30,20,35,3
Cry Like A Ghost,Passion Pit,159.939,0.902,-5.464,0.385,0.5,0.00914,30,20,20,30,0
Chained,The xx,113.997,0.798,-6.175,0.735,0.464,0.0579,20,50,10,20,1
Disparate Youth,Santigold,93.083,0.764,-6.442,0.649,0.703,0.117,15,30,20,35,3
Cheap Beer,FIDLAR,104.981,0.857,-5.571,0.569,0.282,0.0101,25,40,10,25,1
Origins,Tennis,100.003,0.808,-5.34,0.603,0.41,0.0201,15,50,10,25,1
Affection,Crystal Castles,90.969,0.765,-5.832,0.766,0.542,0.489,30,20,20,30,0
Comeback Kid,Sleigh Bells,87.536,0.751,-9.713,0.508,0.165,0.199,15,4,20,61,3
Losing You,Solange,105.004,0.741,-5.345,0.525,0.294,0.0153,15,44,10,31,1
